Country,Age_Standardized_Suicide_Rate,Age_Standardized_Suicide_Rate_Female,Age_Standardized_Suicide_Rate_Male,crude_suicide_80_above,crude_suicide_70to79,crude_suicide_60to69,crude_suicide_50to59,crude_suicide_40to49,crude_suicide_30to39,crude_suicide_20to29,crude_suicide_10to19,crude_suicide_80_above_male,crude_suicide_70to79_male,crude_suicide_60to69_male,crude_suicide_50to59_male,crude_suicide_40to49_male,crude_suicide_30to39_male,crude_suicide_20to29_male,crude_suicide_10to19_male,crude_suicide_80_above_female,crude_suicide_70to79_female,crude_suicide_60to69_female,crude_suicide_50to59_female,crude_suicide_40to49_female,crude_suicide_30to39_female,crude_suicide_20to29_female,crude_suicide_10to19_female,Regional_indicator,Happiness_Score,GDP_Per_Capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Social_Support_Level,Generosity_Level,Freedom_to_make_life_choices_level,Homicide_Rate,Homicide_Level,Crime_Index,Population,Crime_Level,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Stand_alone_law_for_mental_health,Stand_alone_policy_for_mental_health
afghanistan,6.4,2.1,10.6,42.0,11.0,5.5,5.6,6.6,9.2,10.2,3.1,70.4,20.9,9.8,9.3,10.5,15.1,16.3,4.8,20.1,2.3,1.4,1.6,2.3,2.7,3.5,1.2,South Asia,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,Very Low,Low,Very Low,7.1,High,76.31,39835428.0,Very High,0.003,0.012,0.006,,,0.231,0.098,,0.296,Yes,Yes
albania,5.6,4.3,7.0,16.3,8.3,6.0,7.8,9.1,6.1,6.5,5.0,23.2,11.9,8.1,11.4,13.5,8.8,6.3,3.1,10.9,4.9,3.9,4.4,5.0,3.4,6.6,7.0,Central and Eastern Europe,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,Very Low,Low,Low,2.3,Low,42.53,2872933.0,Low,0.068,0.068,0.41,,0.445,1.471,6.876,1.06,1.231,Yes,Yes
algeria,3.3,1.8,4.9,9.4,5.6,4.2,4.1,4.7,5.3,4.2,1.3,12.7,8.4,6.2,6.2,7.0,7.9,6.2,1.6,6.4,3.0,2.2,2.0,2.4,2.6,2.1,1.0,Middle East and North Africa,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,Low,Low,Very Low,1.4,Low,52.03,44616624.0,High,0.048,0.068,0.048,,,,,,,Yes,No
argentina,9.1,3.5,15.0,15.8,11.6,10.0,9.5,9.8,10.8,15.3,8.6,41.6,22.7,17.2,15.1,15.5,17.8,25.3,12.7,4.1,3.7,3.9,4.3,4.2,3.7,5.0,4.3,Latin America and Caribbean,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,High,Very Low,High,5.1,High,63.82,45605826.0,Very High,0.937,1.071,1.72,,0.152,21.705,,,222.572,Yes,Yes
armenia,5.7,2.0,10.1,27.9,17.4,10.1,8.4,9.0,5.4,4.5,2.2,41.0,28.1,17.8,15.9,17.2,10.1,8.2,3.5,20.2,10.4,4.4,2.6,2.3,1.4,0.9,0.6,Commonwealth of Independent States,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,Low,Very Low,Very Low,2.4,Low,22.79,2968127.0,Very Low,,0.069,1.371,0.034,,3.84,11.245,0.274,0.788,Yes,Yes
australia,11.7,6.0,17.4,28.8,13.1,12.9,18.2,19.7,16.3,13.9,5.6,41.2,19.8,19.8,27.5,30.2,24.7,20.7,7.3,20.1,6.7,6.2,9.0,9.4,8.0,6.8,3.9,North America and ANZ,7.222799778,10.72059631,0.944854617,73.60453796,0.915431738,0.19046016,0.41516912,Very High,Very High,Very High,0.8,Very Low,43.03,25788215.0,Low,,,,,,13.525,90.582,,103.036,Yes,Yes
austria,11.4,5.7,17.5,40.9,25.1,17.8,23.1,15.7,13.1,10.8,4.5,91.8,40.6,27.4,33.1,23.8,19.9,17.1,5.2,12.7,12.4,9.0,13.2,7.6,6.3,4.3,3.7,Western Europe,7.294199944,10.7428236,0.928045869,73.00250244,0.899989486,0.085429221,0.499954879,Very High,High,Very High,0.7,Very Low,25.54,9043070.0,Very Low,,,,,,,,,,No,No
azerbaijan,2.6,1.0,4.3,7.7,6.6,4.5,4.1,3.5,3.2,2.2,1.4,12.5,10.4,7.3,7.0,6.2,5.4,3.4,2.1,5.0,4.0,2.1,1.4,1.0,1.0,0.9,0.6,Commonwealth of Independent States,5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,Low,Very Low,Low,2.0,Low,32.02,10223342.0,Very Low,0.114,0.021,0.156,0.094,0.031,3.452,6.717,0.114,1.165,Yes,Yes
bahrain,5.7,2.1,7.9,25.2,11.0,6.2,4.8,6.1,8.1,8.8,3.0,40.8,17.7,8.2,6.5,8.6,10.6,11.7,4.3,11.5,4.2,3.2,1.9,1.4,2.7,3.1,1.5,Middle East and North Africa,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,High,Very High,Very High,0.5,Very Low,25.64,1748296.0,Very Low,,,,,,5.467,27.918,1.458,1.239,No,Yes
bangladesh,6.1,6.7,5.5,30.0,12.8,7.7,4.9,4.6,6.6,9.5,6.2,51.4,19.2,9.3,6.2,4.8,4.9,5.7,2.7,10.2,6.4,6.1,3.6,4.5,8.2,13.3,9.8,South Asia,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,Very Low,High,Very High,2.2,Low,63.9,166303498.0,Very High,0.001,0.035,0.055,,0.045,0.13,0.873,,0.124,No,No
belarus,21.4,6.2,39.3,40.6,32.4,32.0,39.9,39.9,30.6,18.9,4.8,96.1,76.8,65.3,75.9,70.4,52.1,32.3,7.6,22.9,11.4,8.9,9.5,11.8,9.0,4.8,1.8,Commonwealth of Independent States,5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,High,Very Low,Very Low,3.6,High,59.58,9442862.0,Very High,0.2,0.063,0.116,0.285,,13.504,,,5.514,Yes,Yes
belgium,15.7,9.4,22.2,53.4,27.5,24.2,32.3,29.1,18.3,13.4,3.6,71.8,37.2,32.7,41.8,40.2,28.2,21.0,4.9,42.9,19.6,16.2,22.7,17.6,8.4,5.6,2.1,Western Europe,6.863500118,10.6736393,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,Very High,Low,High,1.7,Low,44.58,11632326.0,Low,,,,,,20.057,125.692,17.435,10.462,,
benin,15.7,9.6,22.6,90.0,60.4,36.6,24.5,15.6,13.9,14.0,4.5,146.4,81.1,47.3,33.0,22.6,21.6,21.8,6.6,55.6,45.8,27.6,16.7,9.0,6.2,6.1,2.4,Sub-Saharan Africa,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,Very Low,High,Low,1.1,Very Low,,,,,,,,,,,,,,
bolivia,12.9,8.9,16.9,14.1,13.4,15.0,15.0,15.6,17.0,21.2,10.4,19.4,18.0,20.2,20.0,21.2,23.4,28.7,10.8,10.2,9.2,10.0,10.1,10.1,10.6,13.6,10.0,Latin America and Caribbean,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,Low,Low,High,6.3,High,57.77,11832940.0,Very High,0.075,0.009,0.009,,,1.128,,,,No,Yes
bosnia and herzegovina,6.4,2.5,10.6,21.0,19.6,12.7,12.3,11.1,6.7,3.8,1.7,41.5,34.9,22.7,19.3,18.4,10.4,6.2,2.5,9.7,8.6,4.2,5.4,3.9,2.8,1.2,0.8,Central and Eastern Europe,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,Low,Very High,Very Low,1.2,Low,42.99,3263466.0,Low,,,,,,8.032,22.144,0.594,1.527,Yes,Yes
botswana,11.5,5.7,18.3,48.9,32.0,21.8,20.3,15.3,12.1,10.6,3.5,89.2,49.6,33.4,31.5,23.5,19.2,17.6,5.3,28.9,20.3,12.9,11.2,7.4,4.9,3.4,1.6,Sub-Saharan Africa,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,Low,Very Low,High,15.0,Very High,52.98,2397241.0,High,,,,,,,,,,Yes,Yes
brazil,6.1,2.8,9.7,19.5,11.9,9.2,9.3,8.6,8.1,6.9,2.7,31.9,19.4,14.6,14.6,13.6,12.8,11.3,3.8,12.3,6.3,4.7,4.5,4.0,3.4,2.5,1.6,Latin America and Caribbean,6.375599861,9.56643486,0.896723807,66.48016357,0.799804807,-0.101812392,0.770601273,High,Low,Low,30.5,Very High,67.49,213993437.0,Very High,0.069,0.115,1.491,,0.267,3.165,34.948,6.608,12.368,Yes,Yes
bulgaria,7.9,3.2,13.1,35.3,23.2,15.4,13.8,10.3,8.8,6.2,2.9,64.5,41.3,27.3,22.9,16.2,14.2,9.6,4.2,18.9,11.0,5.5,4.9,4.1,3.1,2.6,1.6,Central and Eastern Europe,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,Very High,Very Low,Low,1.5,Low,38.21,6896663.0,Low,0.167,0.307,0.307,5.935,1.783,7.203,17.736,0.78,1.867,No,No
burkina faso,14.8,9.1,22.4,108.0,68.0,37.7,23.4,13.9,12.0,9.6,3.1,214.7,111.6,54.9,34.0,21.2,15.7,12.1,4.0,47.4,40.5,25.7,14.8,7.1,8.4,7.1,2.1,Sub-Saharan Africa,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,Very Low,High,Very Low,1.3,Low,,,,,0.287,,,,0.039,0.635,0.011,0.022,No,Yes
burundi,15.0,7.7,23.1,93.7,58.2,31.0,23.9,15.1,12.9,12.9,5.7,174.8,94.0,45.2,34.8,22.6,19.7,19.8,7.8,34.0,28.3,17.3,13.5,7.9,6.4,6.5,3.6,Sub-Saharan Africa,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,Very Low,High,Very Low,6.0,High,,,,,,,,,0.01,0.049,0.069,0.49,No,Yes
cambodia,5.9,3.2,9.0,15.5,13.1,10.2,5.1,6.8,9.5,8.0,2.4,25.5,21.6,14.8,7.3,10.8,15.4,11.8,3.1,9.3,7.4,7.1,3.3,3.2,4.0,4.2,1.6,Southeast Asia,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,Low,High,Very High,1.8,Low,51.13,16946438.0,High,,0.006,1.134,,,0.387,0.277,,7.089,No,Yes
cameroon,19.5,12.5,26.9,113.3,78.1,46.3,29.2,18.8,17.6,16.6,6.3,168.3,97.2,55.5,37.2,27.2,27.1,25.5,9.2,72.5,62.0,38.0,21.5,10.4,8.1,7.5,3.4,Sub-Saharan Africa,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,Very Low,High,Low,1.4,Low,65.24,27224265.0,Very High,,,,,,,,,,No,Yes
canada,10.4,5.8,15.1,21.8,12.1,13.6,19.7,17.4,12.4,12.0,5.1,29.7,19.5,21.2,29.0,25.3,18.0,17.6,5.9,16.8,5.5,6.2,10.2,9.5,6.9,6.3,4.2,North America and ANZ,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,Very High,Very High,Very High,1.8,Low,41.89,38067903.0,Low,,,,,,14.679,68.659,145.4,48.74,Yes,Yes
central african republic,11.6,6.0,18.0,51.7,37.0,23.8,18.8,12.6,12.2,11.7,3.8,98.8,59.8,35.1,27.6,19.5,18.3,18.3,5.3,21.8,19.3,14.1,10.6,5.7,6.3,5.2,2.3,Sub-Saharan Africa,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,Very Low,High,Very Low,19.8,Very High,,,,,,,,,0.022,0.022,0.022,,No,Yes
chad,15.5,13.8,17.1,76.8,55.9,33.3,25.9,16.7,14.7,13.8,4.9,83.8,49.4,29.7,24.5,19.8,19.4,19.3,5.6,71.7,61.5,36.4,27.1,13.5,9.9,8.2,4.2,Sub-Saharan Africa,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,Very Low,High,Very Low,,,,,,,0.007,0.007,,,0.007,0.021,0.007,,No,Yes
chile,9.7,3.8,16.0,15.3,15.5,12.9,14.3,14.4,13.0,12.9,4.9,39.4,30.2,22.7,22.6,23.2,21.1,20.6,6.6,2.5,4.1,4.1,6.2,5.6,4.7,4.8,3.1,Latin America and Caribbean,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,High,Low,Low,4.3,High,53.42,19212361.0,High,0.023,0.175,0.839,0.315,1.171,6.97,1.88,,,No,Yes
china,8.0,8.3,7.9,61.3,44.0,23.4,10.5,6.3,6.0,5.0,1.9,73.2,51.2,24.2,9.0,4.8,4.7,4.4,1.5,52.3,37.1,22.6,12.1,7.8,7.4,5.7,2.3,East Asia,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,Low,Very Low,Very High,0.6,Very Low,30.14,1444216107.0,Very Low,,,,,,2.199,5.423,,,Yes,Yes
